mp_id,material,n_atoms_primitive,V_prim_A3,theta_D_m2_K,theta_D_m3_K,theta_D_fmax_K,theta_D_acoustic_K,v_Debye_from_features_m_per_s
25,N8,8,194.17401659843628,1890.3021189327692,3507.276311891197,3511.6264261644897,105.28939555326434,1023.9414679043483
39,Tl,1,28.687942350840093,76.038828127387,77.80298165518528,120.81073421642591,341.076188846569,3507.04488852953
111,Ne,1,23.815372917842385,53.87999711299298,48.77253308804531,66.00774246162123,,
147,Se6,6,149.66866480292643,259.9633120934095,251.69631824684225,347.47961256040674,201.90510769324308,1981.5147382343077
149,Si2,2,40.126953028731045,664.3568268534113,614.4975606244337,732.6133833791652,555.3872936396044,5068.990284429324
154,N8,8,193.73395395815282,1888.6257312932626,3507.2121162473463,3511.6534069582417,180.78024261703987,1756.7623147060003
160,B12,12,85.95580229138982,1382.371984686363,1204.9644892430986,1702.333283069838,1536.2089099533098,9946.532828627574
165,Si4,4,80.22258560398834,661.3701101500479,612.5179862941623,723.4272475936347,574.2306367503626,5240.29059297098
190,O3Re,4,53.39382845565946,770.1292608313017,771.784498033424,1020.0471736345648,895.3513391041149,7133.90465938196
200,La4P28,32,624.1315798964462,551.5707212168257,549.5983484718304,689.8974431914631,403.33708130097665,3646.7024960115327
209,Er8Se12,20,541.2763502292746,245.97299989244365,219.67623132420954,315.9315580190117,249.60580258433333,2517.1425973782793
216,O24Sc16,40,471.557661280637,736.8750007162407,672.5887190348163,1001.3387168770639,835.1500330906044,6384.2942780647945
218,O24Sm16,40,641.2605928647305,600.2832719058296,591.4227723836773,837.3720566132512,465.71965990746446,3944.3267223148346
223,Ge3O6,9,122.4880869493567,920.0763190319151,1034.3765272110948,1320.1318669050293,546.1706516669317,4379.947757864993
224,S4W2,6,107.66036726521172,563.3963526592727,502.9907837917567,626.0657915712505,351.5177214898299,3091.046582632615
226,Fe4S8,12,150.44778388460097,638.8843974242627,532.8565982413694,679.148274914055,784.6774788475682,6122.791833427055
230,O16Sb8,24,311.8039378434301,759.6433946918335,809.8726860715987,1132.8367240909936,470.0976245711207,3711.9458431347225
239,Ba2S6,8,192.0735994849125,422.62777866809677,514.5182125188403,662.3412806104278,174.25388506137594,1688.4899848551202
241,CdF2,3,39.28210096282447,449.6665747698235,428.13670186092605,569.0959885330008,329.08202946651755,2605.2662164764074
252,BeTe,2,44.20837209823017,633.1423564217431,653.2789997607002,779.4566451558275,323.3936211947977,3048.454718543977
254,F18Nd6,24,301.4998755924895,510.2111623046986,489.321353427151,669.2022869386358,427.5305402239745,3338.227255651939
277,N16Zr12,28,340.23851521167114,773.9240571033397,773.7927424878318,1113.342436513233,581.4062075098437,4489.640860964397
286,SeYb,2,48.70681062301126,223.31633064533514,197.74297042443445,278.75525511746036,243.90610316966243,2374.6486250807184
306,B6O9,15,136.70657673820082,1542.8049870649725,1676.2880234490892,2238.000660395511,1595.6042061123558,11194.757202615794
315,F2Pb,3,51.15960425538488,319.5190315039154,326.3018798058476,470.07944808992113,231.5505024097469,2001.8790046878391
