mp_id,material,inv_vg_mean,inv_vg_transport,inv_vg_tail,skew_freq,skew_log,n_exponent,gamma_bond,n_modes,phonopy_version
4691,Ag2CO3,0.200137,0.05979,0.705513,1.0956,-0.0045,3.912,0.652,36,3.4.0
11641,Ag2SeO4,0.245205,0.092748,0.854305,0.9959,-0.033,9.74,1.6233,42,3.4.0
4431,Ag3AsS3,0.395781,0.142625,2.341824,0.2134,-0.5936,24.808,4.1346,42,3.4.0
4515,Ag3SbS3,0.369911,0.159811,1.562014,0.2165,-0.4295,0.0,0.0,42,3.4.0
5563,Ag5GeO4,0.326005,0.167915,0.938261,1.2006,-0.0168,2.108,0.3514,120,3.4.0
4004,Ag5SbS4,0.38343,0.170654,1.374485,0.4293,-0.5905,32.85,5.4751,60,3.4.0
570340,AgAuCl4,0.526964,0.136899,2.141884,0.6418,-0.5113,26.216,4.3694,36,3.4.0
22894,AgI,0.35353,0.126522,1.103308,-0.3736,-0.6929,4.698,0.7829,12,3.4.0
3414,AgSbF6,0.595888,0.138834,4.669987,0.7518,-0.4405,15.922,2.6537,96,3.4.0
3922,AgSbS2,0.31592,0.158354,1.028135,0.151,-0.5075,5.869,0.9782,48,3.4.0
625739,Al(HO)3,0.157874,0.047101,0.493453,1.7402,0.3221,-0.445,-0.0742,168,3.4.0
4417,Al2(SO4)3,0.190581,0.074934,0.743801,0.6404,-0.4449,8.591,1.4318,102,3.4.0
3159,Al2CdSe4,0.505655,0.125032,4.565841,0.5201,-0.3133,2.061,0.3434,21,3.4.0
3807,Al2CdSe4,0.242905,0.075269,1.378219,0.295,-0.7192,2.672,0.4454,42,3.4.0
3038,Al2HgSe4,0.408177,0.149271,2.405356,0.5325,-0.3748,4.14,0.6899,21,3.4.0
1143,Al2O3,0.081042,0.03564,0.361611,0.0387,-1.3035,17.418,2.9031,30,3.4.0
2254,Al2O3,0.144032,0.048308,0.391608,0.1257,-0.8945,0.0,0.0,120,3.4.0
23995,Al2P3(HO3)3,0.705527,0.066518,5.235888,1.7333,-0.1808,11.07,1.845,102,3.4.0
2654,Al2S3,0.257797,0.094908,0.808217,0.1184,-0.6646,0.0,0.0,90,3.4.0
4753,Al2SiO5,0.120387,0.051851,0.409282,0.4341,-0.6045,16.774,2.7957,96,3.4.0
2908,Al2ZnO4,0.162772,0.043609,1.856191,-0.2138,-1.1678,0.0,0.0,42,3.4.0
1591,Al4C3,0.207218,0.034652,2.437353,0.2346,-0.8773,0.0,0.0,21,3.4.0
3281,Al5BO9,0.191296,0.057734,1.20577,0.9004,-0.5017,9.702,1.6169,90,3.4.0
2172,AlAs,0.154551,0.051075,0.977043,-0.1886,-0.6792,3.629,0.6048,6,3.4.0
3098,AlCuO2,0.149151,0.026666,0.835568,-0.0997,-0.8418,-1.274,-0.2124,24,3.4.0
3748,AlCuO2,0.1599,0.026574,0.835272,-0.0572,-1.0766,3.456,0.576,12,3.4.0
8016,AlCuSe2,0.636159,0.088216,7.070805,0.4396,-0.4484,1.979,0.3298,24,3.4.0
1323,AlF3,0.143156,0.056665,0.531356,0.4172,-0.5888,0.0,0.0,192,3.4.0
468,AlF3,0.060507,0.032161,0.273938,0.3659,-0.571,1.683,0.2805,24,3.4.0
23933,AlH3,0.078634,0.031642,0.551137,0.3736,-0.7398,2.827,0.4712,24,3.4.0
1700,AlN,0.125662,0.021048,0.999758,-0.3288,-1.1987,2.861,0.4768,6,3.4.0
661,AlN,0.086895,0.023202,0.447186,-0.3119,-1.013,3.848,0.6414,12,3.4.0
3955,AlPO4,0.191529,0.063641,0.722353,0.5127,-0.5959,10.649,1.7748,54,3.4.0
4051,AlPO4,0.202123,0.0405,1.044995,0.5352,-0.8303,-6.934,-1.1556,36,3.4.0
1550,AlP,0.116176,0.032998,0.618847,-0.3667,-0.8983,3.581,0.5968,6,3.4.0
2624,AlSb,0.197517,0.065738,1.400686,-0.1133,-0.5209,3.535,0.5892,6,3.4.0
3751,AlTlF4,0.106959,0.041551,0.41134,0.4442,-0.8,0.711,0.1184,36,3.4.0
1581,As2O3,0.174747,0.05934,0.553783,0.3733,-0.7289,2.483,0.4139,60,3.4.0
1582,As2O3,0.204214,0.057728,0.63648,0.4473,-0.7167,2.768,0.4614,60,3.4.0
2184,As2O3,0.381985,0.081808,3.406466,0.3884,-1.1036,6.066,1.0109,60,3.4.0
2455,As2Os,0.142197,0.060263,0.416748,-0.1621,-0.9303,0.0,0.0,18,3.4.0
766,As2Ru,0.124969,0.055501,0.358383,-0.3726,-1.1398,0.0,0.0,18,3.4.0
909,As2Se3,0.355987,0.146238,0.984526,0.2802,-0.4829,0.0,0.0,60,3.4.0
942,AuF3,0.432488,0.115327,1.639035,0.5878,-0.4079,6.058,1.0096,72,3.4.0
306,B2O3,0.136985,0.039862,0.936891,0.3911,-0.5472,-0.329,-0.0549,45,3.4.0
717,B2O3,0.058266,0.028569,0.192368,0.1859,-0.7677,4.993,0.8321,30,3.4.0
696746,B4C,0.233045,0.029206,4.373283,0.7308,-1.1696,9.871,1.6452,45,3.4.0
624,B6As,0.326386,0.040271,2.233629,-0.3512,-1.2574,0.0,0.0,42,3.4.0
1346,B6O,0.151112,0.027576,0.785582,-0.2141,-1.4077,-1.438,-0.2397,42,3.4.0
3277,BAsO4,0.198423,0.045717,1.57496,0.1842,-0.8072,0.828,0.138,18,3.4.0
4674,BNF8,1.662469,0.126467,9.819084,0.4939,-0.4766,-7.845,-1.3075,120,3.4.0
984,BN,0.046499,0.011418,0.273369,-0.0438,-1.3442,2.595,0.4324,12,3.4.0
3589,BPO4,0.141337,0.029325,1.189341,0.1867,-0.8275,0.08,0.0134,18,3.4.0
1479,BP,0.085881,0.023392,0.424995,-0.2528,-0.9139,3.499,0.5831,6,3.4.0
160,B,0.125606,0.03153,0.557044,-0.135,-1.5505,0.0,0.0,36,3.4.0
4255,Ba(CuS)2,0.698527,0.069556,11.352884,0.5072,-0.3195,3.578,0.5963,15,3.4.0
4473,Ba(CuSe)2,0.377978,0.127604,1.22307,0.2409,-0.5148,1.405,0.2341,60,3.4.0
17928,Ba(ErTe2)2,0.354579,0.159823,1.126494,-0.1275,-0.8586,-3.268,-0.5446,84,3.4.0
4396,Ba(NO3)2,4.489296,0.120709,42.021312,0.7095,0.0355,4.473,0.7455,108,3.4.0
2983,Ba(PN2)2,0.256679,0.079378,2.028007,0.2756,-0.8419,0.0,0.0,252,3.4.0
4727,Ba(SbSe2)2,0.516736,0.209667,1.501222,0.3394,-0.7656,0.0,0.0,168,3.4.0
17501,Ba(ScTe2)2,0.273063,0.122241,0.821815,0.6137,-0.2502,0.0,0.0,84,3.4.0
756725,Ba2CaI6,0.415186,0.200656,1.128347,1.3975,-0.1894,0.0,0.0,54,3.4.0
16904,Ba2CdTe3,0.3428,0.161362,0.994243,0.3433,-0.5383,1.488,0.248,72,3.4.0
21879,Ba2CePtO6,0.136259,0.056896,0.551232,0.899,-0.1325,9.75,1.6249,30,3.4.0
555284,Ba2NdAlO5,0.174668,0.083913,0.496467,0.9165,-0.2007,0.0,0.0,54,3.4.0
3359,Ba2SnO4,0.649395,0.053242,9.157086,0.9449,-0.2721,7.333,1.2222,21,3.4.0
14552,Ba2SrUO6,0.207835,0.079255,0.624686,0.9156,-0.2083,9.484,1.5807,60,3.4.0
3397,Ba2TiO4,0.210846,0.104771,0.597231,1.0829,0.0291,3.421,0.5701,84,3.4.0
558629,Ba2ZnSi2O7,0.201737,0.08639,0.663492,0.7761,-0.1748,0.0,0.0,72,3.4.0
3813,Ba2ZrS4,1.089296,0.035736,21.880541,1.1198,-0.1599,4.387,0.7311,21,3.4.0
3857,Ba3(PO4)2,0.537793,0.066811,2.330564,0.8111,-0.0758,0.0,0.0,39,3.4.0
2911,Ba3(SnP2)2,0.385699,0.135774,1.194041,0.572,-0.1896,0.0,0.0,108,3.4.0
3361,Ba3Al2F12,0.28727,0.137769,0.827265,0.6974,-0.4942,0.0,0.0,204,3.4.0
524,Ba3As14,0.9605,0.22822,3.394144,0.1537,-0.6366,0.0,0.0,102,3.4.0
16978,Ba3MgSb2O9,0.220228,0.071694,1.006685,0.7336,-0.2534,34.079,5.6798,90,3.4.0
1195,Ba3P14,1.06331,0.172355,3.726152,0.1217,-0.5487,0.0,0.0,102,3.4.0
755363,Ba3SiO,0.169272,0.059505,0.491351,0.6371,-0.2422,2.178,0.363,60,3.4.0
9668,Ba3TiS5,0.392627,0.111782,2.811703,1.4535,0.2016,9.64,1.6067,54,3.4.0
6795,Ba5Ho8Zn4O21,0.306715,0.0963,2.145259,0.5408,-0.3823,0.0,0.0,114,3.4.0
3563,Ba5Nb4O15,0.242664,0.072269,1.094792,0.9996,-0.1197,5.805,0.9675,72,3.4.0
