mp_id,material,n_atoms_primitive,n_atoms_unitcell,avg_mass_AMU,fc_mean,fc_max,on_site_norm,trace_ratio,aniso,interaction_range,phonopy_version
4691,Ag2CO3,12,12,45.9575,0.914139,91.919687,45.078105,0.532437,0.138702,1.0,3.4.0
11641,Ag2SeO4,14,56,51.242,0.831668,82.500527,30.899421,0.532023,0.266246,1.0,3.4.0
4431,Ag3AsS3,14,42,70.6745,0.440765,15.989771,12.541496,0.618528,0.388342,0.948365,3.4.0
4515,Ag3SbS3,14,42,77.3657,0.433785,13.607432,12.24394,0.643692,0.445175,0.91222,3.4.0
5563,Ag5GeO4,40,40,67.5979,0.774369,50.397062,19.757002,0.612321,0.33572,1.0,3.4.0
4004,Ag5SbS4,20,40,78.9361,0.415676,15.052661,9.780806,0.668831,0.413655,0.981013,3.4.0
570340,AgAuCl4,12,24,74.4411,0.407643,35.627699,15.020365,0.546528,0.16561,0.768421,3.4.0
22894,AgI,4,4,117.3863,0.170918,7.961235,6.450384,0.999655,0.999012,0.712598,3.4.0
3414,AgSbF6,32,64,42.9523,1.225465,81.645976,27.098301,0.528276,0.240252,1.0,3.4.0
3922,AgSbS2,16,32,73.4395,0.418179,12.858266,11.371031,0.75137,0.513488,0.981579,3.4.0
625739,Al(HO)3,56,56,11.1434,1.226543,57.84848,45.368913,0.504507,0.216399,1.0,3.4.0
4417,Al2(SO4)3,34,102,20.1265,2.138187,133.453655,67.406405,0.591705,0.36656,1.0,3.4.0
3159,Al2CdSe4,7,14,68.8877,0.455267,18.041744,14.760264,0.827371,0.610832,1.0,3.4.0
3807,Al2CdSe4,14,56,68.8877,0.809216,14.631904,13.414333,0.75604,0.634059,1.0,3.4.0
3038,Al2HgSe4,7,14,81.4847,0.447275,17.753705,14.300798,0.82131,0.611152,1.0,3.4.0
1143,Al2O3,10,30,20.3923,1.310704,35.642241,33.50107,0.83648,0.645803,1.0,3.4.0
2254,Al2O3,40,40,20.3923,1.851524,47.097534,35.223284,0.757221,0.512351,1.0,3.4.0
23995,Al2P3(HO3)3,34,34,17.2884,2.458905,104.25266,54.694664,0.567763,0.320761,0.981563,3.4.0
2654,Al2S3,30,30,30.0316,0.569034,22.413513,18.639498,0.726602,0.455322,1.0,3.4.0
4753,Al2SiO5,32,32,20.2557,1.396574,76.89944,45.645247,0.656556,0.36903,1.0,3.4.0
2908,Al2ZnO4,14,56,26.1915,2.023356,34.802917,29.938053,0.780258,0.670387,1.0,3.4.0
1591,Al4C3,7,21,20.5655,1.2119,35.883121,29.274144,0.819326,0.652279,1.0,3.4.0
3281,Al5BO9,30,60,19.3142,1.414841,75.854288,44.386517,0.652678,0.34192,1.0,3.4.0
2172,AlAs,2,8,50.9516,0.87854,18.126005,17.418121,1.0,1.0,1.0,3.4.0
3098,AlCuO2,8,8,30.6316,0.864652,35.712133,31.684416,0.678933,0.470759,1.0,3.4.0
3748,AlCuO2,4,12,30.6316,1.018148,35.722489,31.732129,0.677407,0.470559,1.0,3.4.0
8016,AlCuSe2,8,16,62.1119,0.370129,17.485198,14.595598,0.928372,0.850642,0.954724,3.4.0
1323,AlF3,64,64,20.9942,0.846213,44.71783,28.454648,0.574776,0.32605,1.0,3.4.0
468,AlF3,8,24,20.9942,1.087954,40.853052,28.004354,0.608942,0.397666,1.0,3.4.0
23933,AlH3,8,24,7.5013,0.533846,23.055915,14.419698,0.621326,0.367164,1.0,3.4.0
1700,AlN,2,8,20.4941,2.037662,36.179535,35.764108,1.0,1.0,1.0,3.4.0
661,AlN,4,4,20.4941,1.141654,36.275432,35.974716,0.97331,0.91993,1.0,3.4.0
3955,AlPO4,18,18,20.3255,2.854232,110.994669,65.326598,0.599795,0.361087,1.0,3.4.0
4051,AlPO4,12,24,20.3255,2.224103,112.541477,66.842968,0.599537,0.372785,1.0,3.4.0
1550,AlP,2,8,28.9777,1.000265,20.473093,19.587474,1.0,1.0,1.0,3.4.0
2624,AlSb,2,8,74.3708,0.697969,15.048515,14.409637,1.0,1.0,1.0,3.4.0
3751,AlTlF4,12,24,51.2264,0.527185,39.514043,19.315864,0.578595,0.345178,1.0,3.4.0
1581,As2O3,20,20,39.5683,1.034469,37.47482,30.785251,0.653994,0.354666,1.0,3.4.0
1582,As2O3,20,20,39.5683,1.033492,37.979409,30.742969,0.656204,0.367362,1.0,3.4.0
2184,As2O3,20,80,39.5683,1.438965,36.999605,29.646727,0.647332,0.400113,1.0,3.4.0
2455,As2Os,6,6,113.3577,0.673869,34.461274,28.526457,0.822682,0.695979,1.0,3.4.0
766,As2Ru,6,6,83.6377,0.607585,31.55434,26.02686,0.819136,0.690855,1.0,3.4.0
909,As2Se3,20,20,77.3446,0.347036,13.959526,12.724896,0.730087,0.411004,0.860504,3.4.0
942,AuF3,24,24,63.4904,0.881204,63.292612,32.548475,0.524546,0.114135,1.0,3.4.0
306,B2O3,15,15,13.924,1.740196,75.55727,69.103735,0.574375,0.139705,1.0,3.4.0
717,B2O3,10,20,13.924,2.585566,65.619823,56.699333,0.704885,0.412987,1.0,3.4.0
696746,B4C,15,45,11.0509,2.746872,91.814801,47.944584,0.703307,0.519358,1.0,3.4.0
624,B6As,14,42,19.9697,2.394375,42.985084,39.533948,0.760332,0.55978,1.0,3.4.0
1346,B6O,14,42,11.5522,2.766377,51.473536,46.741105,0.724818,0.494763,1.0,3.4.0
3277,BAsO4,6,12,24.955,1.871579,79.016252,50.979962,0.66465,0.399791,1.0,3.4.0
4674,BNF8,40,40,17.6805,1.320989,82.367709,39.725438,0.57631,0.358803,0.98481,3.4.0
984,BN,4,4,12.4089,1.715963,78.00429,75.592305,0.736894,0.210683,1.0,3.4.0
