mp_id,material,n_atoms_primitive,n_atoms_unitcell,freq_max_THz,f_max_K,dos_center_THz,dos_width_THz,v_LA_m_per_s,v_TA_m_per_s,v_Debye_m_per_s,v_LA_aniso,v_TA_aniso,n_imag_modes,n_asr_jitter_modes,n_sound_dirs_blocked,n_sound_optic_rejected,n_sound_proj_ambiguous,sound_velocity_unresolved,sound_velocity_flags,mesh_size,n_sound_dirs,eps_sound_cart,phonopy_version
11641,Ag2SeO4,14,56,24.270355,1164.79,8.497145,7.765385,4146.4,1689.14,1912.28,0.1475,0.3075,0,0,0,0,2,False,,"12,12,12",13,0.001,3.4.0
5563,Ag5GeO4,40,40,20.543808,985.95,6.946193,5.847537,3985.32,1770.0,1997.4,0.0472,0.056,0,0,0,0,0,False,,"12,12,12",13,0.001,3.4.0
570340,AgAuCl4,12,24,10.46501,502.24,4.486964,3.229011,2249.63,1073.68,1207.56,0.1491,0.1503,0,0,0,0,0,False,,"12,12,12",13,0.001,3.4.0
22894,AgI,4,4,3.946274,189.39,2.445549,1.29756,2607.42,930.91,1057.66,0.0353,0.0213,0,0,0,0,12,False,,"12,12,12",13,0.001,3.4.0
625739,Al(HO)3,56,56,104.656796,5022.73,29.12546,30.368907,4653.99,8060.03,6021.61,0.9148,0.603,496,0,0,0,10,False,"v_L_lt_v_T,has_soft_modes,extreme_aniso","12,12,12",13,0.001,3.4.0
3038,Al2HgSe4,7,14,11.771887,564.96,5.32298,3.547167,4471.13,2290.75,2565.99,0.194,0.5703,0,0,0,0,18,False,"extreme_aniso,high_proj_ambiguous","12,12,12",13,0.001,3.4.0
1143,Al2O3,10,30,26.255837,1260.08,14.632934,4.99077,10661.66,6409.1,7088.71,0.0199,0.0534,0,0,0,0,0,False,,"12,12,12",13,0.001,3.4.0
2254,Al2O3,40,40,26.762459,1284.39,14.385252,5.979788,14781.61,3170.29,3623.13,0.3213,0.8695,64,0,0,0,11,False,"has_soft_modes,extreme_aniso,unphysical_vel_high","12,12,12",13,0.001,3.4.0
23995,Al2P3(HO3)3,34,34,73.259942,3515.92,20.160349,16.771861,7326.22,4109.37,4573.32,0.1139,0.1914,0,0,0,0,0,False,,"12,12,12",13,0.001,3.4.0
2654,Al2S3,30,30,15.483917,743.11,8.249426,4.092354,4975.58,3526.27,3822.08,0.0398,1.0298,0,0,0,0,24,False,"extreme_aniso,high_proj_ambiguous","12,12,12",13,0.001,3.4.0
4753,Al2SiO5,32,32,32.70694,1569.68,15.277907,7.717272,9053.32,5377.25,5954.34,0.0901,0.0529,0,0,0,0,0,False,,"12,12,12",13,0.001,3.4.0
2908,Al2ZnO4,14,56,22.628582,1086.0,13.176582,5.326542,8829.13,4976.36,5536.0,0.0311,0.082,0,0,0,0,0,False,,"12,12,12",13,0.001,3.4.0
1591,Al4C3,7,21,25.739371,1235.29,13.868682,6.319325,10655.93,5837.63,6508.74,0.0209,0.0832,0,0,0,0,0,False,,"12,12,12",13,0.001,3.4.0
2172,AlAs,2,8,11.600141,556.72,6.982743,3.481859,5757.89,3146.09,3508.47,0.036,0.0945,0,0,0,0,0,False,,"12,12,12",13,0.001,3.4.0
3098,AlCuO2,8,8,24.933267,1196.61,12.414214,6.194309,8590.03,4364.11,4891.02,0.1175,0.2516,0,0,0,0,0,False,,"12,12,12",13,0.001,3.4.0
8016,AlCuSe2,8,16,11.384925,546.39,5.606164,3.236971,4609.67,1635.63,1858.6,0.028,0.7978,0,0,0,0,10,False,extreme_aniso,"12,12,12",13,0.001,3.4.0
1323,AlF3,64,64,23.902914,1147.16,11.17108,5.859351,8305.22,4987.56,5516.98,0.0261,0.0845,0,0,0,0,0,False,,"12,12,12",13,0.001,3.4.0
468,AlF3,8,24,23.80428,1142.42,11.296954,5.640703,7398.06,4851.5,5314.68,0.0568,0.1461,0,0,0,0,1,False,,"12,12,12",13,0.001,3.4.0
23933,AlH3,8,24,57.843672,2776.06,27.120489,16.607416,8996.14,5759.76,6327.79,0.0546,0.1714,0,0,0,0,0,False,,"12,12,12",13,0.001,3.4.0
1700,AlN,2,8,26.389488,1266.49,15.514646,5.796778,10816.28,6333.15,7022.16,0.0818,0.1902,0,0,0,0,0,False,,"12,12,12",13,0.001,3.4.0
661,AlN,4,4,26.634812,1278.27,15.51518,5.874696,16286.26,5915.94,6718.81,0.1044,0.0038,0,0,0,0,12,False,unphysical_vel_high,"12,12,12",13,0.001,3.4.0
