mp_id,material,gamma_morse_kavg,gamma_morse_avg,gamma_morse_max,a_morse_avg,ar_morse_avg
4691,Ag2CO3,0.3798,0.345,0.5058,0.3189,0.6899
11641,Ag2SeO4,0.3806,0.305,0.4079,0.2889,0.61
4431,Ag3AsS3,0.597,0.4294,0.7425,0.286,0.8587
4515,Ag3SbS3,0.4099,0.3194,0.5208,0.2091,0.6389
5563,Ag5GeO4,0.3019,0.2753,0.4212,0.1882,0.5506
4004,Ag5SbS4,0.2407,0.2416,0.283,0.1664,0.4831
570340,AgAuCl4,0.7688,0.5431,0.9382,0.3136,1.0861
22894,AgI,0.3772,0.3661,0.3867,0.2148,0.7321
3414,AgSbF6,1.4017,0.9025,1.5733,0.8266,1.8049
3922,AgSbS2,0.5652,0.354,0.6703,0.2231,0.7079
625739,Al(HO)3,0.2967,0.2759,0.4706,0.2637,0.5517
4417,Al2(SO4)3,0.9624,0.762,1.0926,0.8541,1.5239
3159,Al2CdSe4,0.5974,0.5085,0.7182,0.3177,1.017
3807,Al2CdSe4,0.5811,0.5761,0.7196,0.3288,1.1522
3038,Al2HgSe4,0.4917,0.3865,0.5346,0.2539,0.773
1143,Al2O3,0.7265,0.5804,0.8436,0.4745,1.1607
2254,Al2O3,0.8564,0.7349,1.1303,0.5597,1.4699
23995,Al2P3(HO3)3,0.413,0.2588,0.5292,0.2377,0.5176
2654,Al2S3,0.4106,0.4045,0.4999,0.2756,0.809
4753,Al2SiO5,0.5144,0.3852,0.6383,0.3526,0.7704
2908,Al2ZnO4,0.4944,0.4685,0.5943,0.4234,0.9371
1591,Al4C3,0.8566,0.8221,1.0798,0.6079,1.6442
3281,Al5BO9,0.298,0.253,0.3735,0.2277,0.506
2172,AlAs,0.7228,0.741,0.7964,0.4778,1.482
3098,AlCuO2,0.4489,0.3563,0.5701,0.3153,0.7125
3748,AlCuO2,0.5692,0.5054,0.651,0.4641,1.0109
8016,AlCuSe2,0.4704,0.4624,0.586,0.2795,0.9248
1323,AlF3,0.3173,0.29,0.3813,0.2588,0.58
468,AlF3,0.4426,0.3981,0.5149,0.357,0.7962
23933,AlH3,0.4953,0.4139,0.5834,0.3821,0.8277
1700,AlN,0.6906,0.7086,0.8272,0.5785,1.4171
661,AlN,0.6447,0.6591,0.7,0.5526,1.3181
3955,AlPO4,0.4903,0.4254,0.569,0.4378,0.8508
4051,AlPO4,0.5833,0.5352,0.6928,0.5672,1.0703
1550,AlP,0.7099,0.7285,0.7873,0.4863,1.4571
2624,AlSb,0.7818,0.803,0.8723,0.4747,1.6061
3751,AlTlF4,0.288,0.2355,0.3357,0.2061,0.471
1581,As2O3,0.3721,0.3712,0.4467,0.3282,0.7423
1582,As2O3,0.3629,0.3607,0.4352,0.3209,0.7213
2184,As2O3,0.7405,0.6839,0.7751,0.6345,1.3677
2455,As2Os,0.3438,0.3472,0.3596,0.2802,0.6944
766,As2Ru,0.3397,0.3442,0.3618,0.2785,0.6884
909,As2Se3,0.3041,0.3074,0.3522,0.2065,0.6148
942,AuF3,0.7722,0.771,0.7838,0.6703,1.542
306,B2O3,0.4961,0.4801,0.6419,0.4871,0.9602
717,B2O3,0.467,0.437,0.595,0.4176,0.874
696746,B4C,0.6419,0.5425,0.6719,0.6284,1.085
624,B6As,0.7359,0.7146,0.7433,0.7582,1.4292
1346,B6O,0.679,0.6036,0.7149,0.7349,1.2073
3277,BAsO4,0.7693,0.8558,1.1008,0.6334,1.7117
4674,BNF8,1.1995,0.7388,1.6551,0.4591,1.4777
984,BN,0.5023,0.519,0.5664,0.5519,1.0379
3589,BPO4,0.966,1.0316,1.3085,0.7595,2.0631
1479,BP,0.7262,0.7464,0.8141,0.6013,1.4928
160,B,0.5009,0.5009,0.5009,0.5708,1.0017
4255,Ba(CuS)2,0.5611,0.4732,0.7432,0.2984,0.9463
4473,Ba(CuSe)2,0.2425,0.2313,0.2635,0.1645,0.4626
17928,Ba(ErTe2)2,0.4341,0.3209,0.5456,0.1704,0.6418
4396,Ba(NO3)2,0.8492,0.5168,0.9182,0.4548,1.0337
2983,Ba(PN2)2,0.8782,0.5445,0.9728,0.4495,1.0889
4727,Ba(SbSe2)2,0.3452,0.2863,0.4383,0.1692,0.5725
17501,Ba(ScTe2)2,0.3375,0.2838,0.38,0.1563,0.5676
756725,Ba2CaI6,0.3732,0.3785,0.3963,0.1675,0.7571
16904,Ba2CdTe3,0.2206,0.227,0.2555,0.1187,0.4539
21879,Ba2CePtO6,0.4676,0.3996,0.5749,0.3396,0.7991
555284,Ba2NdAlO5,0.2765,0.2439,0.3182,0.1421,0.4878
3359,Ba2SnO4,0.4041,0.3918,0.4482,0.2994,0.7836
14552,Ba2SrUO6,0.2443,0.2044,0.2798,0.1632,0.4088
3397,Ba2TiO4,0.3206,0.3141,0.342,0.2615,0.6283
558629,Ba2ZnSi2O7,0.4648,0.388,0.6157,0.2327,0.7761
3813,Ba2ZrS4,0.5674,0.4437,0.718,0.2806,0.8873
3857,Ba3(PO4)2,0.5893,0.4329,0.6713,0.4446,0.8657
2911,Ba3(SnP2)2,0.3534,0.3073,0.4685,0.1755,0.6146
3361,Ba3Al2F12,0.2541,0.2381,0.2732,0.2094,0.4762
524,Ba3As14,0.2369,0.2003,0.2477,0.1421,0.4006
16978,Ba3MgSb2O9,0.3459,0.2671,0.3842,0.2236,0.5341
1195,Ba3P14,0.2461,0.19,0.2556,0.151,0.3801
755363,Ba3SiO,0.3489,0.3005,0.4428,0.1736,0.601
9668,Ba3TiS5,0.3943,0.353,0.4239,0.2456,0.706
