mp_id,material,w_mean,w_weighted_sv2,w_lo_freq,w_ratio_hi_lo,phase_space_concentration,n_modes,phonopy_version
4691,Ag2CO3,0.0393,0.043976,0.051285,0.5326,0.4364,36,3.4.0
11641,Ag2SeO4,0.054059,0.060382,0.06463,0.6729,0.3225,42,3.4.0
4431,Ag3AsS3,0.100325,0.103538,0.102114,0.965,0.1751,42,3.4.0
4515,Ag3SbS3,0.111482,0.121487,0.115685,0.9275,0.1865,42,3.4.0
5563,Ag5GeO4,0.065828,0.073714,0.07202,0.8281,0.3333,120,3.4.0
4004,Ag5SbS4,0.112457,0.1143,0.117247,0.9183,0.1197,60,3.4.0
570340,AgAuCl4,0.103347,0.112762,0.108505,0.905,0.2075,36,3.4.0
22894,AgI,0.088471,0.118545,0.100578,0.7592,0.7166,12,3.4.0
3414,AgSbF6,0.056249,0.057277,0.066087,0.7023,0.279,96,3.4.0
3922,AgSbS2,0.10112,0.103228,0.100641,1.0095,0.1187,48,3.4.0
625739,Al(HO)3,0.018096,0.023593,0.019609,0.8457,0.4014,168,3.4.0
4417,Al2(SO4)3,0.028287,0.027786,0.028523,0.9835,0.2373,102,3.4.0
3159,Al2CdSe4,0.077884,0.080342,0.078291,0.9896,0.211,21,3.4.0
3807,Al2CdSe4,0.094788,0.095329,0.090588,1.0932,0.0971,42,3.4.0
3038,Al2HgSe4,0.084924,0.084657,0.086697,0.9591,0.1779,21,3.4.0
1143,Al2O3,0.023866,0.028725,0.023402,1.0396,0.3988,30,3.4.0
2254,Al2O3,0.031848,0.035696,0.030474,1.0902,0.1295,120,3.4.0
23995,Al2P3(HO3)3,0.022545,0.024388,0.024101,0.8709,0.3071,102,3.4.0
2654,Al2S3,0.056501,0.059533,0.054507,1.0732,0.1472,90,3.4.0
4753,Al2SiO5,0.032437,0.032315,0.029908,1.1691,0.0949,96,3.4.0
2908,Al2ZnO4,0.033222,0.034545,0.034147,0.9456,0.1803,42,3.4.0
1591,Al4C3,0.034081,0.033574,0.030367,1.2415,0.1512,21,3.4.0
3281,Al5BO9,0.031474,0.031157,0.029965,1.1008,0.1192,90,3.4.0
2172,AlAs,0.028192,0.038798,0.042669,0.3214,0.8068,6,3.4.0
3098,AlCuO2,0.040031,0.039752,0.04162,0.9241,0.2442,24,3.4.0
3748,AlCuO2,0.041135,0.040594,0.042253,0.9485,0.2338,12,3.4.0
8016,AlCuSe2,0.06142,0.086952,0.067337,0.8242,0.4379,24,3.4.0
1323,AlF3,0.044217,0.047386,0.040881,1.1632,0.1065,192,3.4.0
468,AlF3,0.042663,0.045026,0.039027,1.1877,0.1274,24,3.4.0
23933,AlH3,0.015961,0.015847,0.014973,1.132,0.233,24,3.4.0
1700,AlN,0.024314,0.027642,0.027768,0.7512,0.2255,6,3.4.0
661,AlN,0.023739,0.027255,0.027141,0.7492,0.2071,12,3.4.0
3955,AlPO4,0.027952,0.03041,0.02867,0.9499,0.2033,54,3.4.0
4051,AlPO4,0.028792,0.031701,0.03012,0.912,0.1978,36,3.4.0
1550,AlP,0.03884,0.048648,0.047533,0.6343,0.4519,6,3.4.0
2624,AlSb,0.029429,0.040011,0.049206,0.1962,0.8887,6,3.4.0
3751,AlTlF4,0.056884,0.056825,0.0581,0.9581,0.1073,36,3.4.0
1581,As2O3,0.048761,0.04522,0.049095,0.9864,0.1285,60,3.4.0
1582,As2O3,0.044798,0.046817,0.045617,0.9641,0.1854,60,3.4.0
2184,As2O3,0.043621,0.056592,0.043497,1.0058,0.225,60,3.4.0
2455,As2Os,0.058976,0.065366,0.060336,0.9549,0.316,18,3.4.0
766,As2Ru,0.044276,0.053153,0.047332,0.8709,0.438,18,3.4.0
909,As2Se3,0.107905,0.110047,0.099681,1.165,0.2182,60,3.4.0
942,AuF3,0.049682,0.063772,0.060653,0.6381,0.375,72,3.4.0
306,B2O3,0.021164,0.023694,0.02077,1.038,0.2219,45,3.4.0
717,B2O3,0.022624,0.023553,0.022185,1.0395,0.0919,30,3.4.0
696746,B4C,0.015476,0.020907,0.015192,1.0376,0.4001,45,3.4.0
624,B6As,0.02283,0.024649,0.023441,0.9479,0.1599,42,3.4.0
1346,B6O,0.015789,0.020002,0.016032,0.9695,0.3813,42,3.4.0
3277,BAsO4,0.029031,0.02921,0.028824,1.0144,0.1341,18,3.4.0
4674,BNF8,0.031997,0.045314,0.035076,0.8244,0.4096,120,3.4.0
984,BN,0.020214,0.020184,0.020141,1.0072,0.1173,12,3.4.0
3589,BPO4,0.024992,0.024765,0.024388,1.0496,0.1263,18,3.4.0
1479,BP,0.022432,0.023348,0.025685,0.7467,0.373,6,3.4.0
160,B,0.014174,0.020939,0.014389,0.9702,0.5729,36,3.4.0
4255,Ba(CuS)2,0.067336,0.095879,0.049107,1.7488,0.6456,15,3.4.0
4473,Ba(CuSe)2,0.119505,0.123306,0.107599,1.2213,0.1588,60,3.4.0
17928,Ba(ErTe2)2,0.146565,0.166951,0.153942,0.9042,0.1829,84,3.4.0
4396,Ba(NO3)2,0.029518,0.035278,0.0348,0.6965,0.5709,108,3.4.0
2983,Ba(PN2)2,0.031004,0.031103,0.031098,0.9939,0.0975,252,3.4.0
4727,Ba(SbSe2)2,0.15304,0.159635,0.14166,1.1607,0.0947,168,3.4.0
17501,Ba(ScTe2)2,0.130042,0.138582,0.103224,1.5196,0.2716,84,3.4.0
756725,Ba2CaI6,0.175243,0.200153,0.174176,1.0123,0.2903,54,3.4.0
16904,Ba2CdTe3,0.184537,0.188898,0.162835,1.2666,0.1842,72,3.4.0
21879,Ba2CePtO6,0.052161,0.053808,0.054273,0.9222,0.2609,30,3.4.0
555284,Ba2NdAlO5,0.054026,0.056839,0.056777,0.9031,0.2548,54,3.4.0
3359,Ba2SnO4,0.062846,0.06241,0.060389,1.0814,0.1996,21,3.4.0
14552,Ba2SrUO6,0.063736,0.05914,0.063162,1.0182,0.2027,60,3.4.0
3397,Ba2TiO4,0.05034,0.050361,0.055836,0.8031,0.3196,84,3.4.0
558629,Ba2ZnSi2O7,0.03936,0.039142,0.041259,0.908,0.2233,72,3.4.0
3813,Ba2ZrS4,0.104138,0.115558,0.102417,1.0336,0.2244,21,3.4.0
3857,Ba3(PO4)2,0.034416,0.042355,0.038926,0.7688,0.3094,39,3.4.0
2911,Ba3(SnP2)2,0.091632,0.091036,0.08344,1.1964,0.3396,108,3.4.0
3361,Ba3Al2F12,0.058827,0.055998,0.058035,1.0273,0.1622,204,3.4.0
524,Ba3As14,0.110089,0.111338,0.11135,0.9774,0.2191,102,3.4.0
16978,Ba3MgSb2O9,0.051295,0.05384,0.051006,1.0114,0.2081,90,3.4.0
1195,Ba3P14,0.049994,0.0621,0.052646,0.8992,0.3854,102,3.4.0
755363,Ba3SiO,0.127853,0.126074,0.117845,1.1699,0.1657,60,3.4.0
9668,Ba3TiS5,0.086256,0.096005,0.089602,0.9253,0.3524,54,3.4.0
6795,Ba5Ho8Zn4O21,0.061759,0.062078,0.057192,1.1599,0.1376,114,3.4.0
3563,Ba5Nb4O15,0.053032,0.053297,0.052781,1.0095,0.2112,72,3.4.0
3828,BaAl2O4,0.037421,0.045878,0.038989,0.9195,0.2026,42,3.4.0
4202,BaAl2O4,0.038967,0.042899,0.040414,0.9283,0.1519,168,3.4.0
4376,BaAlF5,0.054899,0.052943,0.05445,1.0165,0.1511,84,3.4.0
28049,BaBrCl,0.146286,0.161004,0.150351,0.9459,0.1832,36,3.4.0
4559,BaCO3,0.027464,0.030355,0.033009,0.6642,0.593,15,3.4.0
5504,BaCO3,0.026836,0.028563,0.032903,0.6313,0.5629,60,3.4.0
23199,BaCl2,0.124127,0.132312,0.124429,0.9951,0.1314,36,3.4.0
568662,BaCl2,0.107624,0.108222,0.115,0.8685,0.2571,9,3.4.0
1029,BaF2,0.074114,0.078038,0.0764,0.9395,0.2812,9,3.4.0
4309,BaGa4S7,0.063346,0.072429,0.063444,0.9969,0.2608,72,3.4.0
2139,BaGe2,0.118853,0.118739,0.090203,1.6352,0.3526,72,3.4.0
3848,BaGe4O9,0.040976,0.044309,0.041638,0.9681,0.1357,126,3.4.0
3915,BaHgO2,0.067701,0.072248,0.081292,0.6656,0.3758,12,3.4.0
752656,BaLa2O4,0.072365,0.071642,0.0694,1.0854,0.1404,84,3.4.0
1707,BaN6,0.025444,0.039133,0.037793,0.3465,0.7854,42,3.4.0
2892,BaNd2O4,0.066078,0.064203,0.063627,1.077,0.1331,84,3.4.0
1105,BaO2,0.069017,0.082308,0.073808,0.8706,0.3938,9,3.4.0
1342,BaO,0.1025,0.108981,0.095284,1.1492,0.1703,6,3.4.0
684,BaS2,0.076864,0.091521,0.093637,0.6413,0.3834,18,3.4.0
239,BaS3,0.068855,0.082284,0.07823,0.7599,0.4288,24,3.4.0
3164,BaSO4,0.033622,0.035128,0.037545,0.791,0.224,72,3.4.0
1500,BaS,0.1119,0.112817,0.109429,1.0452,0.253,6,3.4.0
3564,BaSc2O4,0.053041,0.055093,0.051142,1.0742,0.0617,126,3.4.0
1253,BaSe,0.09643,0.123009,0.101824,0.8935,0.4854,6,3.4.0
555387,BaSi2(BO4)2,0.02912,0.029282,0.029191,0.9951,0.092,156,3.4.0
3031,BaSi2O5,0.033007,0.035245,0.035648,0.8518,0.2195,96,3.4.0
1477,BaSi2,0.073953,0.075266,0.070226,1.1061,0.3446,72,3.4.0
3777,BaSiN2,0.037036,0.040916,0.03777,0.9612,0.1953,48,3.4.0
1000,BaTe,0.135322,0.14743,0.143593,0.8863,0.416,6,3.4.0
3943,BaTi2O5,0.048235,0.049663,0.0467,1.0654,0.0943,72,3.4.0
3175,BaTi4O9,0.046799,0.045858,0.045315,1.0655,0.0944,84,3.4.0
2998,BaTiO3,0.053593,0.068224,0.053077,1.0186,0.1435,15,3.4.0
3952,BaY2O4,0.060089,0.060077,0.058704,1.0472,0.0721,84,3.4.0
6089,BaZn2(PO4)2,0.036722,0.037638,0.039101,0.8783,0.1877,156,3.4.0
3881,BaZnF4,0.078529,0.079956,0.074999,1.0942,0.0822,36,3.4.0
4236,BaZnO2,0.064006,0.066141,0.065439,0.9562,0.2249,36,3.4.0
3104,BaZrN2,0.053155,0.055677,0.053019,1.0051,0.2276,24,3.4.0
1569,Be2C,0.009401,0.013954,0.00976,0.926,0.7388,9,3.4.0
3347,Be2SiO4,0.026401,0.028401,0.026564,0.9877,0.1123,126,3.4.0
3081,BeAl2O4,0.024723,0.033487,0.02288,1.1611,0.3587,84,3.4.0
2542,BeO,0.017381,0.020116,0.018238,0.906,0.4263,12,3.4.0
422,BeS,0.028058,0.027197,0.03215,0.7455,0.4297,6,3.4.0
1541,BeSe,0.019727,0.024799,0.020683,0.9076,0.8415,6,3.4.0
252,BeTe,0.027253,0.033706,0.030097,0.811,0.8381,6,3.4.0
23237,BiF3,0.07651,0.077144,0.074681,1.049,0.0552,48,3.4.0
