mp_id,material,gamma_mean,gamma_transport,gamma_norm_mean,gamma_norm_transport,kappa_rta,log_gamma_transport,inv_gamma_transport,n_modes,compute_time_s
22894,AgI,0.077584,0.055466,0.013402,0.017501,1.96,-2.8920,18.0292,12,15.1
3159,Al2CdSe4,0.024507,0.019163,0.001152,0.001420,3.40,-3.9548,52.1837,21,27.9
3038,Al2HgSe4,0.035330,0.027875,0.001904,0.002339,1.47,-3.5800,35.8744,21,27.6
1591,Al4C3,0.076136,0.056174,0.000533,0.000495,24.67,-2.8793,17.8018,21,14.4
2172,AlAs,0.004850,0.005293,0.000161,0.000230,64.28,-5.2414,188.9329,6,2.6
3098,AlCuO2,0.048075,0.034074,0.000246,0.000237,81.13,-3.3792,29.3475,24,26.2
3748,AlCuO2,0.048532,0.034444,0.000249,0.000238,68.12,-3.3684,29.0328,12,11.7
8016,AlCuSe2,0.024095,0.028368,0.001206,0.002031,4.76,-3.5625,35.2506,24,31.7
468,AlF3,0.078573,0.082990,0.000611,0.000644,16.02,-2.4890,12.0497,24,21.9
23933,AlH3,0.220410,0.232388,0.000193,0.000219,77.90,-1.4593,4.3031,24,19.9
1700,AlN,0.015327,0.010096,0.000062,0.000072,211.91,-4.5956,99.0501,6,2.6
661,AlN,0.016738,0.011320,0.000071,0.000081,224.69,-4.4812,88.3403,12,14.8
1550,AlP,0.018011,0.018875,0.000237,0.000336,59.72,-3.9699,52.9806,6,2.6
2624,AlSb,0.002075,0.002860,0.000244,0.000346,134.51,-5.8568,349.5931,6,2.6
2455,As2Os,0.010544,0.006729,0.000309,0.000385,27.98,-5.0013,148.6136,18,42.1
766,As2Ru,0.007654,0.005128,0.000219,0.000290,36.03,-5.2730,194.9975,18,41.3
1479,BP,0.017257,0.008761,0.000055,0.000055,382.18,-4.7374,114.1377,6,2.6
3359,Ba2SnO4,0.098514,0.106295,0.002183,0.001825,4.05,-2.2415,9.4078,21,24.3
568662,BaCl2,0.048219,0.039876,0.004449,0.005577,2.18,-3.2220,25.0778,9,6.3
1029,BaF2,0.072360,0.054358,0.002432,0.002935,5.54,-2.9122,18.3966,9,6.3
3915,BaHgO2,0.091370,0.111938,0.003515,0.003267,5.83,-2.1898,8.9335,12,11.5
1105,BaO2,0.193081,0.271064,0.007996,0.008687,397876334654442414204086559899872204202817924104192000.00,-1.3054,3.6892,9,9.2
1342,BaO,0.231495,0.350600,0.011268,0.009911,2.27,-1.0481,2.8523,6,2.7
684,BaS2,0.040387,0.031413,0.003378,0.004689,57872027261648781386448896.00,-3.4605,31.8336,18,57.0
239,BaS3,0.073228,0.041199,0.004864,0.007341,13.81,-3.1893,24.2725,24,33.1
1500,BaS,0.047846,0.041372,0.002559,0.002709,5.53,-3.1851,24.1709,6,2.7
1253,BaSe,0.007431,0.007892,0.000934,0.001507,10.90,-4.8419,126.7102,6,2.7
1000,BaTe,0.012028,0.010079,0.002405,0.003138,5.83,-4.5973,99.2131,6,2.7
3104,BaZrN2,0.078875,0.091983,0.001922,0.001445,4.42,-2.3862,10.8716,24,41.8
1569,Be2C,0.049028,0.036206,0.000118,0.000137,105.72,-3.3185,27.6199,9,6.2
2542,BeO,0.016880,0.012304,0.000041,0.000050,299.24,-4.3978,81.2758,12,14.8
422,BeS,0.019767,0.009163,0.000122,0.000112,243.55,-4.6926,109.1347,6,2.6
1541,BeSe,0.004807,0.004792,0.000036,0.000049,785.27,-5.3408,208.6720,6,2.6
252,BeTe,0.003857,0.004511,0.000046,0.000060,443.90,-5.4012,221.6752,6,2.6
568388,BiI,0.024027,0.021411,0.012944,0.016959,0.35,-3.8438,46.7045,24,81.7
9570,Ca(CdP)2,0.056038,0.055529,0.002144,0.002468,2.95,-2.8908,18.0085,15,10.0
9564,Ca(MgAs)2,0.029483,0.021766,0.001105,0.001629,5.06,-3.8274,45.9429,15,10.1
1575,CaC2,0.074248,0.074072,0.002260,0.004318,82794213388148030052499456.00,-2.6027,13.5005,18,58.8
917,CaC2,0.069248,0.072533,0.002072,0.003819,6.07,-2.6237,13.7868,18,59.6
4124,CaCN2,1.166652,0.032089,0.001267,0.000690,18.62,-3.4392,31.1630,12,11.5
2741,CaF2,0.106308,0.101640,0.001926,0.002319,7.66,-2.2863,9.8387,9,6.2
642725,CaHClO,0.063056,0.056168,0.002065,0.002526,112920658831586424258560.00,-2.8794,17.8037,24,32.0
2605,CaO,0.072469,0.080932,0.000770,0.000834,25.17,-2.5141,12.3561,6,2.7
1672,CaS,0.011920,0.013204,0.000345,0.000566,34.77,-4.3273,75.7362,6,2.7
1415,CaSe,0.015200,0.014961,0.000687,0.001006,18.44,-4.2023,66.8419,6,2.7
4782,CaSnF6,0.133136,0.162105,0.005500,0.006453,1.15,-1.8195,6.1689,24,31.5
1519,CaTe,0.021187,0.019061,0.001303,0.001650,13.23,-3.9601,52.4630,6,2.7
3960,CaUO4,0.081073,0.084739,0.000895,0.000858,8.67,-2.4682,11.8009,18,9.3
4452,Cd(GaS2)2,0.033757,0.016806,0.000844,0.001003,5.51,-4.0860,59.5031,21,27.3
3772,Cd(GaSe2)2,0.019178,0.012957,0.001110,0.001522,3.54,-4.3461,77.1793,21,26.7
241,CdF2,0.249557,0.250230,0.006157,0.007167,3.06,-1.3854,3.9963,9,6.3
2469,CdS,0.011116,0.011886,0.000528,0.000948,12.93,-4.4324,84.1296,6,2.6
672,CdS,0.011759,0.010931,0.000549,0.000982,17.06,-4.5161,91.4813,12,14.7
1070,CdSe,0.040901,0.025054,0.003085,0.003287,13.70,-3.6867,39.9132,12,14.8
2691,CdSe,0.033938,0.030542,0.002606,0.003327,11.86,-3.4887,32.7421,6,2.6
406,CdTe,0.032959,0.031635,0.003503,0.004245,4.82,-3.4535,31.6103,6,2.6
7232,Cs2HgO2,0.117242,0.199019,0.019447,0.017034,0.91,-1.6144,5.0246,15,8.8
23752,Cs2MgH4,0.822823,1.370708,0.002730,0.003047,2.44,0.3153,0.7296,21,23.1
2667,CsAu,0.127682,0.127044,0.125357,0.173846,0.16,-2.0632,7.8713,6,11.5
1784,CsF,0.249733,0.601940,0.018383,0.024970,1.72,-0.5076,1.6613,6,2.7
606680,CsLi2Br3,0.452015,1.197567,0.033824,0.057031,0.36,0.1803,0.8350,18,21.3
23364,CsLiCl2,0.317147,0.699597,0.015033,0.020074,0.78,-0.3573,1.4294,24,41.5
