mp_id,material,spectral_spread,freq_gap_max_THz,freq_gap_max_ratio,frac_sv2_below_median,spectral_entropy,n_modes,phonopy_version
4691,Ag2CO3,1.013033,10.8641,0.2418,0.4043,0.6775,36,3.4.0
11641,Ag2SeO4,0.913882,10.5035,0.4328,0.5856,0.7376,42,3.4.0
4431,Ag3AsS3,0.716021,2.4284,0.2272,0.5853,0.815,42,3.4.0
4515,Ag3SbS3,0.718998,3.1761,0.3221,0.5764,0.8101,42,3.4.0
5563,Ag5GeO4,0.841833,6.2413,0.3038,0.4698,0.8429,120,3.4.0
4004,Ag5SbS4,0.699043,1.5704,0.1552,0.3636,0.9282,60,3.4.0
570340,AgAuCl4,0.721325,3.1303,0.2991,0.6775,0.7997,36,3.4.0
22894,AgI,0.53369,1.3232,0.3353,0.8966,0.8942,12,3.4.0
3414,AgSbF6,0.773659,7.4986,0.3821,0.6002,0.756,96,3.4.0
3922,AgSbS2,0.634932,1.616,0.1684,0.5809,0.9223,48,3.4.0
625739,Al(HO)3,1.042679,63.9534,0.6111,0.8226,0.5036,168,3.4.0
4417,Al2(SO4)3,0.667849,10.7633,0.2769,0.6357,0.8463,102,3.4.0
3159,Al2CdSe4,0.635671,3.1323,0.2673,0.7214,0.8478,21,3.4.0
3807,Al2CdSe4,0.489582,1.0006,0.0902,0.541,0.9126,42,3.4.0
3038,Al2HgSe4,0.666873,3.1658,0.2689,0.6816,0.8516,21,3.4.0
1143,Al2O3,0.342988,2.3437,0.0893,0.6867,0.9313,30,3.4.0
2254,Al2O3,0.415689,1.0462,0.0391,0.706,0.9401,120,3.4.0
23995,Al2P3(HO3)3,0.831923,35.7979,0.4886,0.66,0.645,102,3.4.0
2654,Al2S3,0.496077,1.05,0.0678,0.6976,0.91,90,3.4.0
4753,Al2SiO5,0.505126,2.2471,0.0687,0.6614,0.9092,96,3.4.0
2908,Al2ZnO4,0.406019,1.9774,0.0874,0.7378,0.9138,42,3.4.0
1591,Al4C3,0.467125,3.5541,0.1381,0.7238,0.9016,21,3.4.0
3281,Al5BO9,0.547654,8.4321,0.1983,0.6334,0.8715,90,3.4.0
2172,AlAs,0.511279,4.6907,0.4044,0.8209,0.7162,6,3.4.0
3098,AlCuO2,0.503369,3.2016,0.1284,0.6176,0.9462,24,3.4.0
3748,AlCuO2,0.514054,3.8986,0.1514,0.6401,0.9174,12,3.4.0
8016,AlCuSe2,0.57953,3.7254,0.3272,0.8913,0.8071,24,3.4.0
1323,AlF3,0.524548,0.6268,0.0262,0.32,0.9471,192,3.4.0
468,AlF3,0.502205,2.8877,0.1213,0.3875,0.9489,24,3.4.0
23933,AlH3,0.613351,15.142,0.2618,0.6754,0.7683,24,3.4.0
1700,AlN,0.390712,6.4363,0.2439,0.8993,0.8369,6,3.4.0
661,AlN,0.383963,4.7999,0.1802,0.8718,0.8649,12,3.4.0
3955,AlPO4,0.680054,9.9013,0.2722,0.737,0.8275,54,3.4.0
4051,AlPO4,0.692498,10.6944,0.2901,0.7547,0.7432,36,3.4.0
1550,AlP,0.448035,4.9035,0.3359,0.8552,0.8939,6,3.4.0
2624,AlSb,0.582911,4.9981,0.4974,0.7616,0.7217,6,3.4.0
3751,AlTlF4,0.68618,2.1562,0.0961,0.319,0.9683,36,3.4.0
1581,As2O3,0.67222,3.3813,0.1434,0.3065,0.85,60,3.4.0
1582,As2O3,0.663774,3.2283,0.1344,0.2835,0.8769,60,3.4.0
2184,As2O3,0.590123,5.7675,0.2468,0.7767,0.6757,60,3.4.0
2455,As2Os,0.330583,1.4957,0.1549,0.711,0.9267,18,3.4.0
766,As2Ru,0.301499,1.2652,0.1334,0.8018,0.9384,18,3.4.0
909,As2Se3,0.540569,1.2203,0.1518,0.7866,0.8274,60,3.4.0
942,AuF3,0.77176,5.1847,0.2755,0.8473,0.7124,72,3.4.0
306,B2O3,0.653935,5.6971,0.1222,0.5258,0.9412,45,3.4.0
717,B2O3,0.453793,4.4117,0.0979,0.5498,0.9736,30,3.4.0
696746,B4C,0.377802,18.3214,0.3429,0.9138,0.74,45,3.4.0
624,B6As,0.413354,2.6715,0.0864,0.8339,0.9252,42,3.4.0
1346,B6O,0.342336,2.804,0.0804,0.9154,0.8886,42,3.4.0
3277,BAsO4,0.579421,5.9095,0.1807,0.8443,0.7684,18,3.4.0
4674,BNF8,0.816887,6.2564,0.1849,0.535,0.4815,120,3.4.0
984,BN,0.533753,13.4332,0.2838,0.6028,0.9368,12,3.4.0
3589,BPO4,0.558129,6.3064,0.1686,0.841,0.7968,18,3.4.0
1479,BP,0.424844,8.8792,0.363,0.8993,0.7849,6,3.4.0
160,B,0.319142,6.1123,0.1723,0.8896,0.8508,36,3.4.0
4255,Ba(CuS)2,0.54918,2.5025,0.2774,0.4152,0.9283,15,3.4.0
