mp_id,material,sv2,sv2_per_mode,n_modes,n_masked_weighted,phonopy_version
4691,Ag2CO3,6175.3289,171.5369,36,0.002315,3.4.0
11641,Ag2SeO4,3253.7622,77.4705,42,0.0,3.4.0
4431,Ag3AsS3,1160.9885,27.6426,42,2.107639,3.4.0
4515,Ag3SbS3,1111.6339,26.4675,42,1.747685,3.4.0
5563,Ag5GeO4,3185.0363,26.542,120,0.0,3.4.0
4004,Ag5SbS4,1455.4077,24.2568,60,0.421296,3.4.0
570340,AgAuCl4,1167.9535,32.4432,36,0.00463,3.4.0
22894,AgI,442.9409,36.9117,12,0.0,3.4.0
3414,AgSbF6,3152.7651,32.8413,96,0.038194,3.4.0
3922,AgSbS2,1428.4186,29.7587,48,0.011574,3.4.0
625739,Al(HO)3,43114.993,256.6369,168,0.289352,3.4.0
4417,Al2(SO4)3,11943.0048,117.0883,102,0.0,3.4.0
3159,Al2CdSe4,914.1437,43.5307,21,0.0,3.4.0
3807,Al2CdSe4,4832.4501,115.0583,42,0.0,3.4.0
3038,Al2HgSe4,674.3057,32.1098,21,0.0,3.4.0
1143,Al2O3,16919.1912,563.973,30,0.0,3.4.0
2254,Al2O3,21303.0418,177.5253,120,0.037037,3.4.0
23995,Al2P3(HO3)3,11781.9829,115.5096,102,0.0,3.4.0
2654,Al2S3,6223.0463,69.145,90,0.0,3.4.0
4753,Al2SiO5,24930.9193,259.6971,96,0.0,3.4.0
2908,Al2ZnO4,14943.3252,355.7935,42,0.0,3.4.0
1591,Al4C3,11286.473,537.4511,21,0.0,3.4.0
3281,Al5BO9,17657.4797,196.1942,90,0.002315,3.4.0
2172,AlAs,1554.5158,259.086,6,0.0,3.4.0
3098,AlCuO2,20288.5743,845.3573,24,0.0,3.4.0
3748,AlCuO2,10079.3805,839.9484,12,0.0,3.4.0
8016,AlCuSe2,1530.3861,63.7661,24,0.0,3.4.0
1323,AlF3,40167.3316,209.2049,192,0.0,3.4.0
468,AlF3,18378.8083,765.7837,24,0.0,3.4.0
23933,AlH3,17520.5417,730.0226,24,0.0,3.4.0
1700,AlN,8218.9955,1369.8326,6,0.0,3.4.0
661,AlN,14774.7826,1231.2319,12,0.0,3.4.0
3955,AlPO4,8695.7961,161.0333,54,0.00463,3.4.0
4051,AlPO4,12491.2512,346.9792,36,0.06713,3.4.0
1550,AlP,3557.5363,592.9227,6,0.0,3.4.0
2624,AlSb,988.095,164.6825,6,0.0,3.4.0
3751,AlTlF4,14218.357,394.9544,36,0.086806,3.4.0
1581,As2O3,9740.7787,162.3463,60,0.0,3.4.0
1582,As2O3,9193.3666,153.2228,60,0.023148,3.4.0
