mp_id,material,spacegroup,sg_symbol,crystal_system,nsites,volume,density
25,N2,205,Pa-3,Cubic,8,194.174,958.26
39,Tl,229,Im-3m,Cubic,2,57.3759,11830.29
111,Ne,225,Fm-3m,Cubic,4,95.2615,1407.04
147,Se,148,R-3,Trigonal,18,449.006,5256.26
149,Si,227,Fd-3m,Cubic,8,160.5078,2324.48
154,N2,198,P2_13,Cubic,8,193.734,960.44
160,B,166,R-3m,Trigonal,36,257.8674,2506.23
165,Si,194,P6_3/mmc,Hexagonal,4,80.2226,2325.38
190,ReO3,221,Pm-3m,Cubic,4,53.3938,7283.75
200,LaP7,14,P2_1/c,Monoclinic,32,624.1316,3785.68
209,Er2Se3,70,Fddd,Orthorhombic,80,2165.1054,7011.79
216,Sc2O3,206,Ia-3,Cubic,80,943.1153,3885.08
218,Sm2O3,206,Ia-3,Cubic,80,1282.5212,7224.03
223,GeO2,154,P3_221,Trigonal,9,122.4881,4255.69
224,WS2,194,P6_3/mmc,Hexagonal,6,107.6604,7649.32
226,FeS2,205,Pa-3,Cubic,12,150.4478,5296.81
230,SbO2,33,Pna2_1,Orthorhombic,24,311.8039,6550.85
239,BaS3,113,P-42_1m,Tetragonal,8,192.0736,4037.75
241,CdF2,225,Fm-3m,Cubic,12,157.1284,6358.07
252,BeTe,216,F-43m,Cubic,8,176.8335,5131.38
254,NdF3,165,P-3c1,Trigonal,24,301.4999,6650.0
277,Zr3N4,62,Pnma,Orthorhombic,28,340.2385,6436.4
286,YbSe,225,Fm-3m,Cubic,8,194.8272,8591.8
306,B2O3,152,P3_121,Trigonal,15,136.7066,2536.98
315,PbF2,225,Fm-3m,Cubic,12,204.6384,7958.61
334,LaF3,185,P6_3cm,Hexagonal,24,320.0415,6098.6
341,PbF4,139,I4/mmm,Tetragonal,10,151.474,6209.04
352,HfO2,14,P2_1/c,Monoclinic,12,135.404,10325.4
361,Cu2O,224,Pn-3m,Cubic,6,74.7797,6354.91
375,UO3,221,Pm-3m,Cubic,4,70.328,6753.49
380,ZnSe,186,P6_3mc,Hexagonal,4,89.4955,5356.3
384,MgP4,14,P2_1/c,Monoclinic,10,193.1246,2548.53
390,TiO2,141,I4_1/amd,Tetragonal,12,136.6105,3883.17
401,Sc2S3,70,Fddd,Orthorhombic,80,1641.6384,3011.99
402,CdP2,33,Pna2_1,Orthorhombic,12,273.4365,4235.42
406,CdTe,216,F-43m,Cubic,8,272.308,5854.37
409,NaS,189,P-62m,Hexagonal,12,264.1493,2076.57
422,BeS,216,F-43m,Cubic,8,113.4243,2405.49
438,Nd2S3,62,Pnma,Orthorhombic,20,457.0679,5590.2
463,KF,225,Fm-3m,Cubic,8,154.7026,2494.38
467,Th3N4,166,R-3m,Trigonal,21,346.9362,10799.91
468,AlF3,167,R-3c,Trigonal,24,264.9182,3158.26
470,GeO2,136,P4_2/mnm,Tetragonal,6,56.5421,6146.11
473,Na3P11,60,Pbcn,Orthorhombic,56,1232.8991,2207.13
484,Te3As2,12,C2/m,Monoclinic,20,568.1451,6227.11
